epoch,phase,train_loss,train_data,train_bone,train_smooth,train_angle,val_loss,val_data,val_bone,val_smooth,val_angle,val_pck,val_jitter,lr,epoch_time_s
1,warmup,0.03927577627659775,0.03652296539535746,0.01307393472478725,0.015163573196623474,0.013948645664087963,0.0230200832830742,0.020725993047468364,0.011825313416309654,0.008532205149531364,0.012336005431832745,21.643245709314943,0.05309789958968759,0.0003,1434.2724194526672
2,warmup,0.022406336642801762,0.0198095821083989,0.011734219852369278,0.013701742255652788,0.013882279962534085,0.01774832845851779,0.015437315818388015,0.011607087532058358,0.0068963966681621965,0.013777644942514598,28.069628854095935,0.04703284737095237,0.0003,10532.112042665482
3,warmup,0.017758141627535223,0.0151461115462007,0.011513860991690307,0.012724765152670443,0.01345371238834923,0.014673617737367748,0.01230172105645761,0.011582829152233898,0.006467820012243465,0.013341318581718952,33.32343248166144,0.045852927275002,0.0003,5588.272780179977
4,warmup,0.015018924066564068,0.012369436234759633,0.011369458341505378,0.011993358532781712,0.013404398385377134,0.013145149921998382,0.01072370921378024,0.011500594270415604,0.006108971088309772,0.012885932120028884,37.93539648205042,0.04396618014574051,0.0003,1212.8559365272522
5,warmup,0.013149590274551884,0.010525996460812165,0.010988535711308941,0.011058639153314289,0.012652857219294674,0.012349093962460757,0.009991417611949147,0.010727671671658754,0.005822979851742275,0.01274656394124031,40.81229600459337,0.04236091199889779,0.0003,1010.5336318016052
6,train,0.011214033245109022,0.00865823748440016,0.010565615618252195,0.009538844873080961,0.011980146307585529,0.009817111177369952,0.0075685985381715,0.010164874323643745,0.0043817163028288635,0.011533889184705912,47.67826494425535,0.03667602347023785,3.003070094653996e-06,3936.81099152565
7,train,0.009060530816786922,0.006679793350107502,0.00988890215603169,0.0071076718555414115,0.010945024497999839,0.008329251575283705,0.0061337221574503924,0.009731212256476282,0.003986512295086868,0.01024731373344548,53.25839855372906,0.034727119537070396,3.0122749926267356e-06,1139.6002221107483
8,train,0.007846173199708574,0.005598722170107067,0.00917938376753591,0.005884186971466988,0.010176017176636378,0.007613976086489857,0.005517853182042017,0.009097701522521675,0.0033869176656007765,0.009251186265959404,57.08923642933369,0.03155418682284653,3.0275985453993275e-06,1121.4334197044373
9,train,0.006826648272341117,0.004665503830183298,0.008776601093821227,0.00471923086620518,0.009252035712883298,0.006805332709569484,0.004807706574676558,0.008500909643247723,0.0025674336969968865,0.008965218885874492,62.06724451184273,0.02742687158472836,3.049013870253233e-06,1112.5241310596466
10,train,0.006290038879262283,0.004191525606671348,0.008399310258799232,0.00409542223259632,0.008414414313105226,0.006306921637151391,0.004368020611116663,0.008120278017129749,0.002166696392057929,0.00802933842400671,65.2354751586914,0.02449059692956507,3.07648339743168e-06,1121.1178636550903
11,train,0.005690708696085494,0.0036760880087094846,0.007889130036113783,0.0035764352323385535,0.007958029879646347,0.006026729696895927,0.004138899715268053,0.007620174265466631,0.002204688546422403,0.007796113641205011,68.70962153673172,0.024797446258366107,3.109958936049791e-06,1106.690182685852
12,train,0.005300302177143749,0.003354476851556683,0.007461556816357188,0.003141900708375033,0.007420096966518031,0.00551155391940847,0.003723143051145598,0.007096660986077041,0.0017029497604817152,0.00722423173597781,71.02138239145279,0.022093490326777102,3.149381758637765e-06,1111.6347951889038
13,train,0.004837714192224667,0.0029707912133890204,0.007119812846998684,0.002583898024822702,0.0064602826922237,0.0052445034864358605,0.0034281877041794358,0.007061137462500483,0.001691856073011877,0.006691559920145664,73.3503868997097,0.02138457734324038,3.1946827041688154e-06,1134.754362821579
14,train,0.004562581418722403,0.0027227462314767764,0.006875670652021654,0.0024234289874730166,0.0059349396038595615,0.00487311179144308,0.0031659253120888023,0.006601074762176722,0.0013511456960404757,0.005343731072576702,75.5118292093277,0.018823878920637072,3.2457822993911198e-06,1141.618000984192
15,train,0.004290195110661444,0.00250507225698675,0.0065688876141794025,0.002132208793940663,0.005336098249047609,0.004777660270221531,0.0030639958496904,0.006465164611116052,0.0013495764637336833,0.005072699582684436,77.21477131843567,0.018759823185391725,3.3025908982508964e-06,1118.2884221076965
16,train,0.004047035531431902,0.0023039565474609843,0.006321491643902845,0.0018921860576519975,0.004822005152180395,0.0045958195019047705,0.00292640421341639,0.006180384116480127,0.0011752271976147313,0.00474164357873633,78.67309355735779,0.01780070948600769,3.365008839162054e-06,1122.3641629219055
17,train,0.0038591630799346605,0.002143921230541309,0.006094579891010653,0.001795935155969346,0.004373713917932383,0.004420226753922179,0.0027777121996041387,0.005971440564841032,0.0010504926877620165,0.004386336397961713,80.00165042877197,0.01654923037625849,3.4329266198464763e-06,1167.2699782848358
18,train,0.0037048081351676956,0.0020195685974758815,0.005902918889885768,0.0015901510785261053,0.003972528549977085,0.004299171557184309,0.0026582536606583745,0.005829677635338157,0.0010055562566703884,0.004258211032238819,81.18060507774354,0.015941626699641345,3.5062250894382246e-06,1122.1385266780853
